,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,-0.73953587,0.63735235,0.14068784,-0.13637654,0.23510145,0.17326556,0.11372922,0.13051918,-0.54515344,-0.10363756,-0.2954406,0.042397004,-0.20018508,-0.41955966,0.18325321,0.12757404,-0.26851773,0.4186228,0.71685016,-0.22401378,-0.16769895,-0.9042823,0.26528436,-0.5052287,0.08010125,-0.596285,-0.45037195,-0.13942406,0.3963473,0.04903089
2,-0.16535823,-1.005934,0.36718422,-0.002952064,0.21804297,0.65819556,-0.38163352,0.5966198,0.31961855,0.53695786,0.01697769,-0.371425,0.07142602,0.020621868,0.20825596,0.2556014,-0.24980764,0.07705072,1.3638115,-0.622992,-0.13492298,0.1331392,-0.6691158,-0.027666157,0.05210987,0.4111031,-0.6899516,-0.05279459,-0.11840406,0.17806545
3,0.0859531,0.25448084,0.09384837,0.0111640245,0.46416208,0.3645332,0.36520278,0.47013026,0.2622318,-0.69536966,0.13285354,0.018815946,-0.30356243,-0.20717368,0.0498437,0.21733189,-0.08665871,-0.14589469,-0.46869966,0.014255743,0.06600893,-0.4112688,0.1006581,0.4453766,0.122485824,-0.38082075,0.30282298,0.088329256,-0.53342223,-0.5719522
4,0.6546364,0.25982264,-0.18493862,0.039103035,-0.0878375,0.4233982,0.6599175,-0.24933241,0.06483656,-0.38327613,-0.61979157,0.15069047,-0.47235414,0.1850062,-0.32047242,0.35763416,-0.34046277,-0.6085278,-0.7463012,0.36154258,0.11337039,0.21531896,0.17660561,-0.41422057,-0.21459414,0.19011606,0.15123071,0.44521925,0.14699915,0.4258124
5,0.70918435,-0.65608394,-0.3301524,-0.19092973,0.17095767,0.29382172,0.32867005,0.40003294,-0.52319175,0.5113159,-0.53168005,0.15509202,-0.5022942,0.46869084,0.16721097,-0.5552183,-0.14377426,-0.07847423,0.17979234,-0.2919449,0.32002294,-0.80057645,0.30119008,-0.2211927,0.3507886,0.1795769,0.13479319,0.3182927,-0.46065614,0.17258339
6,0.9627919,0.01606983,0.15163454,-0.35808387,0.36860844,-0.5859846,-0.024972612,1.1488503,0.66673255,0.2908095,0.31902578,0.3030858,-0.53845495,0.19759157,0.28838018,0.09867698,-0.2930537,0.14215423,0.25778556,0.50226456,0.31672323,-0.32084286,0.39059877,0.060210586,0.06517482,0.38662827,0.17633748,0.58003277,-0.5785444,-0.35269523
7,0.83365524,0.003037581,0.2810034,-0.62237686,0.03336958,0.14569661,0.24480858,-0.23212984,0.44375435,0.4903446,-0.51436585,0.06024987,0.2938989,0.017359195,0.12857795,0.1503778,-0.16542897,0.3644431,0.98187166,-0.38889912,0.13942714,-0.6271355,0.21820618,-0.3295421,-0.09251558,0.42495152,-0.118300736,-0.12554996,-0.5384799,-0.87348473
8,0.5965327,0.41605717,0.58262473,-0.032304514,-0.02581335,0.22645375,-0.2142436,-0.15763003,-0.6095765,0.51697856,0.2860742,-0.36537355,0.060538966,-0.13284928,0.042959668,-0.3658585,-0.27240452,0.24143144,-0.24164757,-0.63773435,-0.083967045,-0.5238964,0.2189022,0.28390443,-0.008663482,-0.13290776,-0.7581537,-0.25629818,0.2901495,0.2626404
9,0.65285814,0.31334183,-0.078157865,0.2843629,-0.015034977,-0.69102544,0.08798152,0.26893955,-0.4394492,-0.56088054,-0.4805297,-0.055397388,-0.49250332,0.2843374,0.2114058,0.3715232,0.29026085,0.14430153,-0.14787817,0.13858832,0.20690402,-0.39540294,0.46903312,-0.37988508,0.013515871,0.25179842,0.15779538,-0.19825001,0.014812898,0.38921544
10,0.46811417,-0.15663429,0.116838746,0.433093,0.028225845,0.85692954,0.4741808,0.19204889,-0.2772745,0.1989582,-0.6939844,0.3645038,-0.674045,0.4082483,-0.026555268,0.38180104,0.24017553,0.26700985,-0.3990572,0.14596976,-0.15085046,0.53666234,0.37208778,-0.16493447,-0.012155009,0.35360527,0.1709182,0.20043595,-0.35339543,0.15373048
